Team_Number_Id,TeamPoints,FieldGoals.,X3PointShots.,FreeThrows.,TotalRebounds,Assists,Steals,Blocks
12,113,0.489,0.348,0.81,51,26,12,7
12,92,0.481,0.286,0.667,38,22,10,2
12,106,0.5,0.308,0.9,34,23,9,4
12,111,0.488,0.393,0.762,40,23,8,4
12,104,0.488,0.474,0.813,35,23,11,4
12,126,0.538,0.517,0.733,47,32,11,3
12,73,0.299,0.333,0.7,44,16,8,8
12,123,0.538,0.36,0.778,39,27,11,1
12,93,0.404,0.258,0.625,54,22,2,4
13,113,0.549,0.391,0.839,34,23,5,3
13,117,0.45,0.3,0.783,45,29,5,2
13,105,0.429,0.273,0.8,45,19,10,7
13,108,0.447,0.5,0.676,47,16,10,9
13,125,0.489,0.458,0.786,46,24,9,3
13,121,0.512,0.419,0.733,39,28,9,5
13,126,0.561,0.387,0.846,39,29,11,5
13,113,0.557,0.4,0.75,41,30,6,10
13,109,0.46,0.333,0.613,48,22,10,5
13,113,0.439,0.306,0.789,34,18,17,2
13,118,0.56,0.333,0.682,40,31,4,1
13,102,0.443,0.238,0.692,40,26,6,5
13,109,0.488,0.37,0.724,36,23,15,6
13,112,0.469,0.321,0.722,50,29,7,4
13,96,0.412,0.273,0.769,50,22,5,7
13,113,0.455,0.36,0.857,54,23,4,5
13,104,0.483,0.37,0.833,39,28,10,3
13,108,0.462,0.333,0.933,57,23,6,3
13,98,0.432,0.25,0.609,53,20,7,5
13,114,0.565,0.375,0.857,43,19,8,6
